==============================
Processo, 41, tempo, 3.776045, Prioridade,-1
Processo, 46, tempo, 3.756088, Prioridade,-1
Processo, 40, tempo, 3.782886, Prioridade,-1
Processo, 50, tempo, 3.740761, Prioridade,-1
Processo, 44, tempo, 3.777304, Prioridade,-1
Processo, 42, tempo, 3.769486, Prioridade,-1
Processo, 51, tempo, 3.740659, Prioridade,-1
Processo, 45, tempo, 3.711212, Prioridade,-1
Processo, 43, tempo, 3.779636, Prioridade,-1
Processo, 49, tempo, 3.749390, Prioridade,-1
Processo, 7, tempo, 3.769973, Prioridade,-1
Processo, 47, tempo, 3.773305, Prioridade,-1
==============================
Processo, 51, tempo, 3.783253, Prioridade,-1
Processo, 50, tempo, 3.839256, Prioridade,-1
Processo, 11, tempo, 3.842732, Prioridade,-1
Processo, 47, tempo, 3.807420, Prioridade,-1
Processo, 3, tempo, 3.932606, Prioridade,-1
Processo, 45, tempo, 3.869536, Prioridade,-1
Processo, 0, tempo, 3.910397, Prioridade,-1
Processo, 29, tempo, 3.952467, Prioridade,-1
Processo, 8, tempo, 3.910273, Prioridade,-1
Processo, 22, tempo, 3.897506, Prioridade,-1
Processo, 53, tempo, 3.859140, Prioridade,-1
Processo, 12, tempo, 3.883537, Prioridade,-1
Processo, 60, tempo, 3.890327, Prioridade,-1
Processo, 54, tempo, 3.854396, Prioridade,-1
Processo, 13, tempo, 3.884371, Prioridade,-1
Processo, 10, tempo, 3.902775, Prioridade,-1
Processo, 9, tempo, 3.913151, Prioridade,-1
Processo, 40, tempo, 3.914836, Prioridade,-1
Processo, 30, tempo, 3.919373, Prioridade,-1
Processo, 46, tempo, 3.886311, Prioridade,-1
Processo, 1, tempo, 3.949842, Prioridade,-1
Processo, 69, tempo, 3.850763, Prioridade,-1
Processo, 62, tempo, 3.867284, Prioridade,-1
Processo, 44, tempo, 3.875364, Prioridade,-1
Processo, 48, tempo, 3.898441, Prioridade,-1
Processo, 4, tempo, 3.937056, Prioridade,-1
Processo, 49, tempo, 3.897952, Prioridade,-1
Processo, 32, tempo, 3.946992, Prioridade,-1
Processo, 61, tempo, 3.879706, Prioridade,-1
Processo, 52, tempo, 3.899885, Prioridade,-1
Processo, 55, tempo, 3.884266, Prioridade,-1
Processo, 6, tempo, 3.921064, Prioridade,-1
Processo, 37, tempo, 3.941907, Prioridade,-1
Processo, 65, tempo, 3.871286, Prioridade,-1
Processo, 66, tempo, 3.871546, Prioridade,-1
Processo, 38, tempo, 3.962537, Prioridade,-1
Processo, 41, tempo, 3.950821, Prioridade,-1
Processo, 42, tempo, 3.945827, Prioridade,-1
Processo, 39, tempo, 3.961599, Prioridade,-1
Processo, 33, tempo, 3.981118, Prioridade,-1
Processo, 17, tempo, 3.891113, Prioridade,-1
